backbone,dataset,label_budget_per_class,mean_accuracy,mean_accuracy_delta_vs_fp32_cpu,mean_best_deployment_improvement_vs_fp32_cpu,mean_latency_ms_per_example,mean_latency_reduction_vs_fp32_cpu,mean_macro_f1,mean_macro_f1_delta_vs_fp32_cpu,mean_model_size_mb,mean_model_size_reduction_vs_fp32_cpu,mean_peak_memory_mb,mean_throughput_examples_per_second,mean_throughput_gain_vs_fp32_cpu,method,n
albert-base-v2,mrpc,128,0.50390625,-0.11640625,0.5488500209353442,26.216892216717724,0.34478427846392723,0.3754042917783776,-0.20711497057124997,22.370460510253906,0.4982670125526034,0.0,38.18072249583663,0.5297097701887875,dynamic_int8_cpu,5
albert-base-v2,mrpc,128,0.6203125,0.0,0.0,40.12784771609404,0.0,0.5825192623496276,0.0,44.58638572692871,0.0,0.0,25.03339165780864,0.0,fp32_cpu,5
albert-base-v2,mrpc,128,0.6203125,0.0,42.31205922858207,0.9258559200003447,0.9768964196985338,0.5825192623496276,0.0,44.58638572692871,0.0,104.4845703125,1082.7588786178965,42.31205922858207,fp32_gpu,5
albert-base-v2,mrpc,256,0.71328125,0.00078125,42.32464535235491,0.9485042901565066,0.9768072599735282,0.6991940067549633,0.0009194445060115352,44.58638572692871,0.0,108.40234375,1055.4564188580746,42.32464535235491,bf16_gpu,5
albert-base-v2,mrpc,256,0.50078125,-0.21171875,0.5922784092654977,26.268465017031417,0.3576238784681549,0.350612124077023,-0.3476624381719289,22.370460510253906,0.4982670125526034,0.0,38.14763566088805,0.5659834066330253,dynamic_int8_cpu,5
albert-base-v2,mrpc,256,0.7125,0.0,0.0,41.070273475624504,0.0,0.6982745622489519,0.0,44.58638572692871,0.0,0.0,24.46692945661569,0.0,fp32_cpu,5
albert-base-v2,mrpc,256,0.7125,0.0,42.488000525588944,0.9445178129703891,0.9769628771614456,0.6982745622489519,0.0,44.58638572692871,0.0,104.4845703125,1062.0424847527806,42.488000525588944,fp32_gpu,5
albert-base-v2,mrpc,64,0.5921875,0.00078125,43.54265018410342,0.9218621365627655,0.9774603558921858,0.5396895735865062,0.0007468399187312569,44.58638572692871,0.0,108.40234375,1085.1303143550501,43.54265018410342,bf16_gpu,5
albert-base-v2,mrpc,64,0.49765625,-0.09375,0.5282669622623783,27.534082701562852,0.32842292959285063,0.3669175669363764,-0.1720251667313985,22.370460510253906,0.4982670125526034,0.0,36.46719614862042,0.49320134661335696,dynamic_int8_cpu,5
albert-base-v2,mrpc,64,0.59140625,0.0,0.0,41.039055250156196,0.0,0.5389427336677749,0.0,44.58638572692871,0.0,0.0,24.44576041254573,0.0,fp32_cpu,5
albert-base-v2,mrpc,64,0.59140625,0.0,41.880583101339525,0.9566174710934661,0.9766735204121635,0.5389427336677749,0.0,44.58638572692871,0.0,104.4845703125,1047.5132257038076,41.880583101339525,fp32_gpu,5
bert-base-uncased,mrpc,128,0.6328125,-0.0015625,28.656690641274302,1.0224279009376858,0.9662699323028087,0.6265769142951626,-0.0016057836443070573,417.7237939834595,0.0,644.95546875,978.1980252676038,28.656690641274302,bf16_gpu,5
bert-base-uncased,mrpc,128,0.5125,-0.121875,0.585641174576281,19.400082737343638,0.3601200416469869,0.3612164829324675,-0.26696621500700224,173.08754062652588,0.585641174576281,0.0,51.559848111756274,0.562853822918442,dynamic_int8_cpu,5
bert-base-uncased,mrpc,128,0.634375,0.0,0.0,30.316805226718913,0.0,0.6281826979394697,0.0,417.7237939834595,0.0,0.0,32.9891703625793,0.0,fp32_cpu,5
bert-base-uncased,mrpc,128,0.634375,0.0,36.50031833592985,0.8125947529684652,0.9731956633927861,0.6281826979394697,0.0,417.7237939834595,0.0,459.56171875,1237.0598760085827,36.50031833592985,fp32_gpu,5
bert-base-uncased,mrpc,256,0.6703125,0.00078125,28.241357786289658,1.0303396242187546,0.9657949857863225,0.6602092112281598,0.001017144446431062,417.7237939834595,0.0,644.95546875,970.6689153631048,28.241357786289658,bf16_gpu,5
bert-base-uncased,mrpc,256,0.56953125,-0.1,0.585641174576281,19.568541534375186,0.35047608498338967,0.4870786548360261,-0.17211341194570262,173.08754062652588,0.585641174576281,0.0,51.14548212950895,0.5404958780279127,dynamic_int8_cpu,5
bert-base-uncased,mrpc,256,0.66953125,0.0,0.0,30.125001211718825,0.0,0.6591920667817287,0.0,417.7237939834595,0.0,0.0,33.197900104613474,0.0,fp32_cpu,5
bert-base-uncased,mrpc,256,0.66953125,0.0,36.849318130103896,0.7960164723436947,0.9735746205551264,0.6591920667817287,0.0,417.7237939834595,0.0,459.56171875,1256.4414275352158,36.849318130103896,fp32_gpu,5
bert-base-uncased,mrpc,64,0.65078125,0.0015625,28.6518407217979,1.0197968549999104,0.9662589557802076,0.6504806502967899,0.0015364586902399725,417.7237939834595,0.0,644.95546875,980.681217154506,28.6518407217979,bf16_gpu,5
bert-base-uncased,mrpc,64,0.5,-0.14921875,0.5893143767210757,19.39585377625008,0.35845947294021624,0.3333333333333333,-0.3156108582732166,173.08754062652588,0.585641174576281,0.0,51.5881361665823,0.559345095148187,dynamic_int8_cpu,5
bert-base-uncased,mrpc,64,0.64921875,0.0,0.0,30.233584619843725,0.0,0.6489441916065499,0.0,417.7237939834595,0.0,0.0,33.083555458769524,0.0,fp32_cpu,5
bert-base-uncased,mrpc,64,0.64921875,0.0,34.89211930348442,0.8505321820313583,0.9718932407955867,0.6489441916065499,0.0,417.7237939834595,0.0,459.56171875,1188.4927409577779,34.89211930348442,fp32_gpu,5
distilbert-base-uncased,mrpc,128,0.584375,-0.0015625,24.298196010618934,0.7440728245313721,0.9600670551361606,0.5616537564776313,-0.0021456467518139012,255.45206356048584,0.0,379.0412109375,1356.1807452992389,24.298196010618934,bf16_gpu,5
distilbert-base-uncased,mrpc,128,0.57421875,-0.01171875,0.5394547163487051,12.117833951875241,0.34996764716640805,0.5513348369988011,-0.012464566230644025,132.28924465179443,0.48213671556240517,0.0,82.56218638152578,0.5394547163487051,dynamic_int8_cpu,5
distilbert-base-uncased,mrpc,128,0.5859375,0.0,0.0,18.651088336562793,0.0,0.5637994032294452,0.0,255.45206356048584,0.0,0.0,53.657714562114606,0.0,fp32_cpu,5
distilbert-base-uncased,mrpc,128,0.5859375,0.0,31.971379142465903,0.5691977348436694,0.9694780642639129,0.5637994032294452,0.0,255.45206356048584,0.0,296.0109375,1768.8334724877968,31.971379142465903,fp32_gpu,5
distilbert-base-uncased,mrpc,256,0.675,0.0,21.08932230443198,0.888699566250235,0.9518335683211618,0.6721415544188476,-0.000143640958144875,255.45206356048584,0.0,378.9443359375,1227.3445628053473,21.08932230443198,bf16_gpu,5
distilbert-base-uncased,mrpc,256,0.6671875,-0.0078125,0.5385004729044196,11.98193141312533,0.34520850601536385,0.6632003099702668,-0.009084885406725718,132.28924465179443,0.48213671556240517,0.0,84.26749376807479,0.5295707926039799,dynamic_int8_cpu,5
distilbert-base-uncased,mrpc,256,0.675,0.0,0.0,18.286376972031295,0.0,0.6722851953769925,0.0,255.45206356048584,0.0,0.0,55.03902917295783,0.0,fp32_cpu,5
distilbert-base-uncased,mrpc,256,0.675,0.0,29.008250615288148,0.6344697193759963,0.965666741628011,0.6722851953769925,0.0,255.45206356048584,0.0,296.2734375,1665.8675810912953,29.008250615288148,fp32_gpu,5
distilbert-base-uncased,mrpc,64,0.55625,0.0,23.741738242530058,0.7554652525010397,0.9589278928303152,0.5286813155901986,0.0,255.45206356048584,0.0,379.0412109375,1342.8453303343856,23.741738242530058,bf16_gpu,5
distilbert-base-uncased,mrpc,64,0.54296875,-0.01328125,0.5774516727402281,11.924797244062688,0.3515617620253186,0.5071391953825234,-0.021542120207675198,132.28924465179443,0.48213671556240517,0.0,84.13730416320462,0.550510219156788,dynamic_int8_cpu,5
distilbert-base-uncased,mrpc,64,0.55625,0.0,0.0,18.4756105751552,0.0,0.5286813155901986,0.0,255.45206356048584,0.0,0.0,54.51748934416011,0.0,fp32_cpu,5
distilbert-base-uncased,mrpc,64,0.55625,0.0,30.842757401784674,0.5903008112500174,0.9677509825806061,0.5286813155901986,0.0,255.45206356048584,0.0,296.0109375,1721.5331803684148,30.842757401784674,fp32_gpu,5
albert-base-v2,qqp,128,0.64609375,-0.003125,38.859091829034384,0.9853098018749051,0.9745986622612984,0.6416665462729088,-0.003417846766562538,44.58638572692871,0.0,106.61611328125,1015.6453337286657,38.859091829034384,bf16_gpu,5
albert-base-v2,qqp,128,0.52578125,-0.1234375,0.5984474380797477,24.532253442968113,0.37338421765588836,0.4433951060345705,-0.2016892870049008,22.370460510253906,0.4982670125526034,0.0,41.118617789840265,0.5984474380797477,dynamic_int8_cpu,5
albert-base-v2,qqp,128,0.64921875,0.0,0.0,39.2454158071871,0.0,0.6450843930394713,0.0,44.58638572692871,0.0,0.0,25.782792197158837,0.0,fp32_cpu,5
albert-base-v2,qqp,128,0.64921875,0.0,41.1346923484783,0.9299724264064935,0.9761388539139578,0.6450843930394713,0.0,44.58638572692871,0.0,101.51083984375,1078.8410551411746,41.1346923484783,fp32_gpu,5
